account_number,account_name,date,credit_amount,debit_amount,code,description,reference,memo,transaction_type,amount,transaction_id,property_name,mapping_notes,mapping_status,created_at,updated_at,modified_by
1050106268148,LUST RENTALS,2025-01-02 00:00:00,1100.0,0.0,DDA9,Deposit,,Deposit,income,1100.0,20250102_00090_income,41 26th St,tenant/rent – set to real property if different,mapped,,,
1050106268148,LUST RENTALS,2025-01-03 00:00:00,995.0,0.0,DDA10,ACH Deposit,,LICKING METROPOL HAPPMT 180052X,income,995.0,20250103_00089_income,,,mapping_missing,,,
1050106268148,LUST RENTALS,2025-01-23 00:00:00,100.0,0.0,DDA9,Deposit,,Deposit,income,100.0,20250123_00086_income,118 W Shields St,,overridden,,,system
1050106268148,LUST RENTALS,2025-02-03 00:00:00,1100.0,0.0,DDA9,Deposit,,Deposit,income,1100.0,20250203_00085_income,41 26th St,tenant/rent – set to real property if different,mapped,,,
1050106268148,LUST RENTALS,2025-02-04 00:00:00,995.0,0.0,DDA10,ACH Deposit,,LICKING METROPOL HAPPMT 180052X,income,995.0,20250204_00084_income,,,mapping_missing,,,
1050106268148,LUST RENTALS,2025-03-03 00:00:00,1100.0,0.0,DDA9,Deposit,,Deposit,income,1100.0,20250303_00078_income,41 26th St,tenant/rent – set to real property if different,mapped,,,
1050106268148,LUST RENTALS,2025-03-04 00:00:00,985.0,0.0,DDA10,ACH Deposit,,LICKING METROPOL HAPPMT 180052X,income,985.0,20250304_00077_income,118 W Shields St,housing authority – change if needed,mapped,,,
1050106268148,LUST RENTALS,2025-03-06 00:00:00,200.0,0.0,DDA9,Deposit,,Deposit,income,200.0,20250306_00074_income,118 W Shields St,,overridden,,,system
1050106268148,LUST RENTALS,2025-03-14 00:00:00,160.0,0.0,DDA9,Deposit,,Deposit,income,160.0,20250314_00073_income,UNASSIGNED,small/renter – set manually,manual_review,,,
1050106268148,LUST RENTALS,2025-04-02 00:00:00,985.0,0.0,DDA10,ACH Deposit,,LICKING METROPOL HAPPMT 180052X,income,985.0,20250402_00070_income,118 W Shields St,housing authority – change if needed,mapped,,,
1050106268148,LUST RENTALS,2025-04-02 00:00:00,1100.0,0.0,DDA9,Deposit,,Deposit,income,1100.0,20250402_00071_income,41 26th St,tenant/rent – set to real property if different,mapped,,,
1050106268148,LUST RENTALS,2025-04-10 00:00:00,120.0,0.0,DDA9,Deposit,,Deposit,income,120.0,20250410_00067_income,UNASSIGNED,small/renter – set manually,manual_review,,,
1050106268148,LUST RENTALS,2025-04-18 00:00:00,100.0,0.0,DDA9,Deposit,,Deposit,income,100.0,20250418_00065_income,118 W Shields St,,overridden,,2025-11-09 14:44:46,system
